Domain,Problem Statement,GitHub Link,YouTube Link,Other Resource Link,Description,
IoT,Develop a Smart Waste Management System,https://github.com/topics/smart-bin,https://youtu.be/jgpZ1Osc3vA,https://docs.aws.amazon.com/ebs/latest/userguide/recycle-bin-factors.html#:~:text=You%20can't%20manually%20delete,you%20must%20first%20restore%20it.,An IoT-based solution to monitor waste levels and optimize collection routes.
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution,https://docs.github.com/en/enterprise-cloud@latest/codespaces/reference/disaster-recovery-for-github-codespaces,https://youtu.be/88PLU7Xt0oA,https://cloudian.com/guides/disaster-recovery/disaster-recovery-5-key-features-and-building-your-dr-plan/,A cloud-based disaster recovery system to ensure business continuity.,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool,https://github.com/emalderson/ThePhish,https://youtu.be/93WliZOjQ-4,https://easydmarc.com/tools/phishing-url,An AI-powered tool to detect and prevent phishing attacks in real-time.,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment,https://github.com/rohanmatt/Predictive-Maintenance-for-Industrial-Equipment,https://youtu.be/-rV_35mwgb8,httphttps://tecmavengroup.com/industrial-equipment/s://towardsdatascience.com/predictive-maintenance,A machine learning model that predicts equipment failures before they occur.,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support,https://github.com/topics/healthcare,https://youtu.be/-wxIzaqvkQA,https://www.tribuneindia.com/news/business/india-should-increase-healthcare-and-education-spending-to-3-8-pc-and-6-5-pc-of-gdp-to-achieve-viksit-bharat-goal-ey/,An AI-powered chatbot to assist individuals seeking mental health support.,
IoT,Develop a Smart Waste Management System Variant 1,https://github.com/IceWhaleTech/CasaOS,https://www.youtube.com/watch?v=stu234,https://en.wikipedia.org/wiki/Internet_of_things,An IoT-based solution to monitor waste levels and optimize collection routes. - Variant 1,
Cloud Computing,Implement a Cloud-Based Disaster Recovery Solution Variant 2,https://github.com/awesome-selfhosted/awesome-selfhosted,https://youtu.be/lvZk_sc8u5I,https://contabo.com/en/?utm_source=google&utm_medium=cpc&utm_campaign=dedicated-servers&gad_source=1&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1GZXHFGIi7FdClO9E4p6Le81Bd4FTBKJwwCyvOgR68ynTjvd-2KKAMaAvd0EALw_wcB,A cloud-based disaster recovery system to ensure business continuity. - Variant 2,
Cybersecurity,Develop an AI-Powered Phishing Detection Tool Variant 3,https://github.com/topics/cybersecurity,https://youtu.be/kqaMIFEz15s,https://www.intel.com/content/www/us/en/business/enterprise-computers/resources/endpoint-security.html?cid=sem&source=sa360&campid=2025_ao_cbu_in_gmocoma_gmocrbu_awa_text-link_generic_broad_cd_HQ-COMM-Client-EG-General-OBS_FC25023_google_b2b_is_non-pbm_intel&ad_group=Endpoint-Security_Broad&intel_term=endpoint+protection&sa360id=43700081497008936&gad_source=1&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1HcNoI64to7Tklt-ODIk0VdZNyNpkZwlXuYsQ3Vl8sMivKYME8fEYsaAum7EALw_wcB&gclsrc=aw.ds,An AI-powered tool to detect and prevent phishing attacks in real-time. - Variant 3,
Data Science,Build a Predictive Maintenance Model for Industrial Equipment Variant 4,https://github.com/example/Predictive-Maintenance,https://www.youtube.com/watch?v=maintenance_ml,https://towardsdatascience.com/predictive-maintenance,A machine learning model that predicts equipment failures before they occur. - Variant 4,
Healthcare,Create an AI-Powered Chatbot for Mental Health Support Variant 5,https://github.com/Rogendo/Mental-health-Chatbot,https://youtu.be/FsSrzmRawUg,https://www.ncl.ac.uk/undergraduate/degrees/g200/?utm_source=google&utm_medium=cpc&utm_term=data%20science%20degrees&utm_content=data_science_rsa_ad&utm_campaign=sage_undergraduate_data_science_india_2025&gad_source=1&gclid=Cj0KCQjwkZm_BhDrARIsAAEbX1HnhvUqS-AZwoaeWu8SAAhFCveBnoWiJtEfPhsUHywy0VT6SNeFZFcaAs7QEALw_wcB,An AI-powered chatbot to assist individuals seeking mental health support. - Variant 5,
